line,tail_family,group_family,rank,n,total_E,coverage_mean,coverage_median,coverage_p10,coverage_p25,coverage_p75,coverage_p90,coverage_min,coverage_max,tail_mean,tail_median,tail_p90,weighted_coverage,weighted_tail,max_weighted_tail,energy_coverage_mean,energy_coverage_median,energy_coverage_p10,energy_coverage_p90,energy_coverage_min,energy_coverage_max,energy_weighted_coverage,energy_weighted_tail,coverage_gap_e_minus_c_mean,coverage_gap_e_minus_c_weighted
55,wqkv,attn_in,48,32,1.7197949214238923,0.109340432099998,0.08005653694272041,0.05608880110085011,0.06110218074172735,0.1031854972243309,0.12097824439406395,0.04961593821644783,0.7489319443702698,0.890659567900002,0.9199434630572796,0.94391119889915,0.07688582705324748,0.9231141729467522,0.07895110886953607,0.06448450719472021,0.051184361800551414,0.0419919591397047,0.06531142666935921,0.040555115789175034,0.4025368392467499,0.05128942124928928,0.9487105787507105,-0.04485592490527779,-0.0255964058039582
55,wqkv,attn_in,64,32,1.7197949214238923,0.12782502407208085,0.09733135253190994,0.07168986573815346,0.0768208522349596,0.1215515099465847,0.14226777851581576,0.06361553072929382,0.7826308608055115,0.8721749759279191,0.9026686474680901,0.9283101342618466,0.09399725937982643,0.9060027406201738,0.07770357180082524,0.0808168901130557,0.06626997515559196,0.05493040978908539,0.084686828404665,0.053269755095243454,0.4451718032360077,0.06633064234415297,0.9336693576558469,-0.047008133959025145,-0.02766661703567347
55,wqkv,attn_in,96,32,1.7197949214238923,0.16120904008857906,0.12891321629285812,0.10059868246316911,0.10869174264371395,0.1559213623404503,0.17869875878095628,0.08942344784736633,0.8264699578285217,0.8387909599114209,0.8710867837071419,0.8994013175368308,0.1258246669085103,0.8741753330914896,0.07529568043744568,0.11136280256323516,0.09495846927165985,0.07995692193508147,0.11933252140879631,0.07793691009283066,0.5125837326049805,0.09494388227107253,0.9050561177289274,-0.049846237525343895,-0.030880784637437764
55,wqkv,attn_in,128,32,1.7197949214238923,0.1910065207630396,0.15842365473508835,0.12694349884986877,0.13652340695261955,0.1863250620663166,0.20908739864826204,0.11508335918188095,0.8549713492393494,0.8089934792369604,0.8415763452649117,0.8730565011501312,0.15478469642934325,0.8452153035706566,0.07306425083731503,0.13980319048278034,0.12212225422263145,0.10403414815664291,0.15273372530937196,0.10173296183347702,0.5657511949539185,0.12197760271658976,0.8780223972834099,-0.05120333028025925,-0.03280709371275349
42,w1,mlp_in,16,32,2.3063763658828726,0.014831728040007874,0.01417575590312481,0.010474704764783382,0.011150513775646687,0.0171919004060328,0.019700474478304388,0.009453645907342434,0.027433745563030243,0.9851682719599921,0.9858242440968752,0.9895252952352167,0.013981075993430233,0.9860189240065698,0.13611182369998132,0.01056196793797426,0.010106679517775774,0.009560661297291518,0.012199231795966626,0.009299201890826225,0.013576303608715534,0.010493224944537544,0.9895067750554626,-0.004269760102033615,-0.0034878510488926887
42,w1,mlp_in,32,32,2.3063763658828726,0.02597469970351085,0.025592118501663208,0.02001870609819889,0.021205431316047907,0.028385932557284832,0.030791159160435202,0.01854151487350464,0.039463285356760025,0.9740253002964891,0.9744078814983368,0.9799812939018011,0.024815485611065898,0.975184514388934,0.13480054424823976,0.020203005813527852,0.01979433186352253,0.018811813183128835,0.022599635273218156,0.018365412950515747,0.02329433336853981,0.020033159603622112,0.9799668403963779,-0.005771693889982998,-0.004782326007443785
42,w1,mlp_in,48,32,2.3063763658828726,0.036180210823658854,0.035830071195960045,0.029457999393343925,0.03081710822880268,0.03898102603852749,0.042822423949837686,0.02746155858039856,0.05243397131562233,0.9638197891763411,0.96416992880404,0.9705420006066561,0.03479682830614858,0.9652031716938517,0.1336362028682981,0.02958693727850914,0.029202675446867943,0.027752660028636453,0.0323799766600132,0.02728026732802391,0.03374281898140907,0.029329702250637343,0.9706702977493625,-0.006593273545149714,-0.005467126055511237
42,w1,mlp_in,64,32,2.3063763658828726,0.04605557699687779,0.04578037187457085,0.038364189118146895,0.04016088414937258,0.04869971890002489,0.053594388812780384,0.03641312196850777,0.06362013518810272,0.9539444230031222,0.9542196281254292,0.9616358108818531,0.04452593851877179,0.955474061481228,0.13243202859323502,0.03877549327444285,0.03839896433055401,0.03651946224272251,0.041860603913664814,0.0360630638897419,0.04374322295188904,0.03844116178160245,0.9615588382183975,-0.007280083722434938,-0.0060847767371693395
42,w1,mlp_in,96,32,2.3063763658828726,0.06493006239179522,0.06472542881965637,0.05629494115710259,0.05903286952525377,0.06899122521281242,0.0731867015361786,0.05336323752999306,0.08529932051897049,0.9350699376082048,0.9352745711803436,0.9437050588428975,0.06306958767585316,0.9369304123241471,0.13010246367296233,0.05667998513672501,0.0561395063996315,0.053695020452141765,0.06068250015377998,0.05329744517803192,0.06285297870635986,0.056213295559143665,0.9437867044408563,-0.00825007725507021,-0.006856292116709496
42,w1,mlp_in,128,32,2.3063763658828726,0.08314113924279809,0.08271416276693344,0.07374250888824463,0.07618778198957443,0.0877293087542057,0.09400628432631493,0.06982316076755524,0.10546674579381943,0.9168588607572019,0.9172858372330666,0.9262574911117554,0.08102633420447534,0.9189736657955249,0.12776511597841275,0.07406029757112265,0.07351872324943542,0.07054342553019523,0.07883259728550912,0.07007930427789688,0.0810910165309906,0.07348263027639733,0.926517369723603,-0.009080841671675444,-0.007543703928078016
