line,name,tail_family,group_family,layer_index,score_E,rho,cum_c_len,coverage_c_r16,coverage_energy_r16,tail_c_r16,weighted_tail_r16,coverage_c_r32,coverage_energy_r32,tail_c_r32,weighted_tail_r32,coverage_c_r48,coverage_energy_r48,tail_c_r48,weighted_tail_r48,coverage_c_r64,coverage_energy_r64,tail_c_r64,weighted_tail_r64,coverage_c_r96,coverage_energy_r96,tail_c_r96,weighted_tail_r96,coverage_c_r128,coverage_energy_r128,tail_c_r128,weighted_tail_r128,deferred
55,language_model.model.layers.15.feed_forward.w3,w3,mlp_in,15,0.14550534634029616,0.1251033354304772,4095,0.009851176291704178,0.009305612184107304,0.9901488237082958,0.14407194752211244,0.018669337034225464,0.018403727561235428,0.9813306629657745,0.14278885798918747,0.028104808181524277,0.027361072599887848,0.9718951918184757,0.1414159464920159,0.03725910559296608,0.0361844003200531,0.9627408944070339,0.14008394727666196,0.05493716523051262,0.05348971486091614,0.9450628347694874,0.13751169508647634,0.07179313153028488,0.07041072845458984,0.9282068684697151,0.13505906187212763,
55,language_model.model.layers.16.attention.wqkv,wqkv,attn_in,16,0.05813406596334592,0.17087150544674237,4095,0.04291732609272003,0.017481345683336258,0.95708267390728,0.05563910729730131,0.0633382648229599,0.03282235935330391,0.9366617351770401,0.0544519550981241,0.07945393770933151,0.047516413033008575,0.9205460622906685,0.053515085507504064,0.09616704285144806,0.06174863874912262,0.9038329571485519,0.052543484750719925,0.12527751922607422,0.08907252550125122,0.8747224807739258,0.050851174396932985,0.15341371297836304,0.11507867276668549,0.846586287021637,0.04921550305337995,
55,language_model.model.layers.16.feed_forward.w1,w1,mlp_in,16,0.05706632166223198,0.1251033354304772,4095,0.024517778307199478,0.012220739386975765,0.9754822216928005,0.05566718223891004,0.039463285356760025,0.02329433336853981,0.96053671464324,0.05481429712621466,0.05243397131562233,0.03374281898140907,0.9475660286843777,0.05407410778910643,0.06362013518810272,0.04374322295188904,0.9363798648118973,0.05343575456339303,0.08529932051897049,0.06285297870635986,0.9147006794810295,0.052198603199926585,0.10546674579381943,0.0810910165309906,0.8945332542061806,0.05104772242209303,
55,language_model.model.layers.16.feed_forward.w2,w2,mlp_out,16,0.1361680833489238,0.13297246195124704,4096,0.017963185906410217,0.011975799687206745,0.9820368140935898,0.13372207075320752,0.02680409699678421,0.02089700475335121,0.9731959030032158,0.13251822083497306,0.03595169261097908,0.029669178649783134,0.9640483073890209,0.1312726102729371,0.04475544020533562,0.03833286464214325,0.9552445597946644,0.1300738208367259,0.061163268983364105,0.05533674731850624,0.9388367310166359,0.12783959824010444,0.0779527947306633,0.07196584343910217,0.9220472052693367,0.12555340069875728,
55,language_model.model.layers.16.feed_forward.w3,w3,mlp_in,16,0.1470734181493621,0.1251033354304772,4095,0.00918482430279255,0.0093131298199296,0.9908151756972075,0.14572257464404906,0.0194581039249897,0.018430452793836594,0.9805418960750103,0.14421164829440833,0.028674166649580002,0.027396172285079956,0.97132583335042,0.14285621044762392,0.03727472573518753,0.0362296961247921,0.9627252742648125,0.14159129682490806,0.05482729524374008,0.053563352674245834,0.9451727047562599,0.13900978042998097,0.07167868316173553,0.07050073891878128,0.9283213168382645,0.13653138920832053,
55,language_model.model.layers.17.attention.wqkv,wqkv,attn_in,17,0.04572139529280972,0.17087150544674237,4095,0.02462356723845005,0.016199693083763123,0.97537643276155,0.044595571441581466,0.04239857941865921,0.030876893550157547,0.9576014205813408,0.043782873083355614,0.061233069747686386,0.044938184320926666,0.9387669302523136,0.04292173390588356,0.0769403949379921,0.05855164676904678,0.9230596050620079,0.042203573081864884,0.10901845246553421,0.08471040427684784,0.8909815475344658,0.04073691953342264,0.13612861931324005,0.10969468951225281,0.86387138068676,0.039497404878524656,
55,language_model.model.layers.17.feed_forward.w1,w1,mlp_in,17,0.058928192029555064,0.1251033354304772,4095,0.014184295199811459,0.011433137580752373,0.9858157048001885,0.05809233715821668,0.026274343952536583,0.022166455164551735,0.9737256560474634,0.05737989244366941,0.0373474545776844,0.0324469730257988,0.9626525454223156,0.056727374054386194,0.048309605568647385,0.04237531125545502,0.9516903944313526,0.05608139431573375,0.0689036101102829,0.06139996647834778,0.9310963898897171,0.05486782686144672,0.08893275260925293,0.07959835976362228,0.9110672473907471,0.05368754570608009,
55,language_model.model.layers.17.feed_forward.w3,w3,mlp_in,17,0.14784195425333893,0.1251033354304772,4095,0.009676963090896606,0.009309643879532814,0.9903230369091034,0.14641129311874335,0.01891685090959072,0.018412752076983452,0.9810831490904093,0.14504525004654598,0.0283370278775692,0.027370374649763107,0.9716629721224308,0.14365255267418775,0.037102069705724716,0.036198921501636505,0.9628979302942753,0.142356711761201,0.05523774027824402,0.05353701114654541,0.944762259721756,0.13967549878206495,0.07274514436721802,0.07047662138938904,0.927254855632782,0.13708716994764814,
55,language_model.model.layers.18.attention.wqkv,wqkv,attn_in,18,0.05923040599016683,0.17087150544674237,4095,0.027448948472738266,0.017822036519646645,0.9725510515272617,0.057604593628123375,0.05003117024898529,0.033976342529058456,0.9499688297510147,0.056267039464156274,0.07136080414056778,0.04931681975722313,0.9286391958594322,0.05500367658913622,0.08922304958105087,0.06410124897956848,0.9107769504189491,0.053945688539800404,0.12132616341114044,0.09228163212537766,0.8786738365888596,0.052044208074095655,0.1521172821521759,0.11901263892650604,0.8478827178478241,0.05022043761017269,
55,language_model.model.layers.18.feed_forward.w1,w1,mlp_in,18,0.0531062512385225,0.1251033354304772,4095,0.016306079924106598,0.011090194806456566,0.9836939200758934,0.052240296461357465,0.030823852866888046,0.021596625447273254,0.969176147133112,0.051469311964034294,0.04300646856427193,0.03175690025091171,0.9569935314357281,0.05082233891406666,0.053847894072532654,0.04163859412074089,0.9461521059274673,0.05024659144724124,0.07337348908185959,0.060731351375579834,0.9266265109181404,0.04920966029309428,0.09420415759086609,0.07909318804740906,0.9057958424091339,0.0481034215777886,
